AbilitecContactID,PolicyNumber,DriverNumber,AbilitecHouseholdID,DriverCount,ClaimCount,TotalPaid,ClaimNumber,AtFaultDescription,ClaimStatus,ClaimType,DateOfLoss,DriverID,LossState,PolicyStateCode,SubrogrationFlag,TermEffectiveDate,VehicleID,ClaimTransCount,ClaimTransPaidLoss,DaysToClaim,DaysToClaim_h
04ZJUS118XELHHZK,Q080MTY2MzIy,1,04ZJUS03Q49D6GJ4,1,1,0.0,PA0002390084,No fault,C,PG_PARKED,2018-10-22 00:00:00,98,CO,CO,NO,2018-09-12 00:00:00,1,1.0,0.0,0.0,0.0
04ZJUS01N59V22SG,Q080MTY2NTcx,1,04ZJUS03YDM2N2PY,1,1,2328.63,PA0002406782,Insured at fault,C,PG_COLLISIONMERGE,2018-12-05 00:00:00,99,CO,CO,NO,2018-09-12 00:00:00,1,15.0,2328.63,0.0,0.0
04ZJUS021L3F9GEC,Q080MTYwMDY4,1,04ZJUS03B62VP2JT,1,2,13285.21,PA0002377351,Insured at fault,C,PG_IVREARENDCV,2018-09-18 00:00:00,1,CO,CO,NO,2018-09-07 00:00:00,1,15.0,13250.21,0.0,0.0
04ZJUS021L3F9GEC,Q080MTYwMDY4,1,04ZJUS03B62VP2JT,1,2,13285.21,PA0002463023,No fault,C,PG_TOWONLY,2019-01-23 00:00:00,1,CO,CO,NO,2018-09-07 00:00:00,1,5.0,35.0,0.0,0.0
04ZJUS0219BQYQ2C,Q080MTYwOTM2,1,04ZJUS036HFC0LMY,5,1,3844.0200000000004,PA0002466376,Other party at fault,C,PG_PARKED,2019-05-23 00:00:00,98,CO,CO,YES,2018-09-08 00:00:00,1,22.0,3844.0200000000004,0.0,0.0
04ZJUS016CHKRQ3P,Q080MTYxNDQ5,1,04ZJUS03KSRMYJBN,2,1,10838.679999999998,PA0002459618,Insured at fault,C,PG_IVREARENDCV,2019-05-06 00:00:00,1,CO,CO,NO,2018-09-08 00:00:00,1,23.0,10838.679999999998,0.0,0.0
04ZJUS01Z9JCHMMR,Q080MTg0NTc3,1,04ZJUS0376FYJ2X7,3,1,26971.609999999997,PA0002393204,Insured at fault,C,PG_IVREARENDCV,2018-10-31 00:00:00,1,CO,CO,NO,2018-09-25 00:00:00,2,21.0,26971.609999999997,0.0,0.0
04ZJUS02XJ9THE5Q,Q080MTk2OTgy,1,04ZJUS03ZKKHJY0V,2,1,1021.01,PA0002468077,Insured at fault,C,PG_IVREARENDCV,2019-05-29 00:00:00,99,CO,CO,NO,2018-10-14 00:00:00,2,9.0,1021.01,0.0,0.0
04ZJUS113X8F2BXP,Q080MTk4NTQ0,1,04ZJUS137KS6SKK8,1,1,12025.800000000001,PA0002436617,Insured at fault,C,PG_COLLISIONMERGE,2019-03-04 00:00:00,1,CO,CO,NO,2018-10-04 00:00:00,1,9.0,12025.800000000001,0.0,0.0
04ZJUS02S5X4QHED,Q080MjAyMjQ2,1,04ZJUS031ZTC0XSF,1,1,13754.66,PA0002456332,Insured at fault,C,PG_COLLISIONWITHPARKEDCAR,2019-04-27 00:00:00,99,CO,CO,NO,2019-04-06 00:00:00,1,22.0,13754.66,0.0,0.0
04ZJUS01CTZW0FL6,Q080MjE4MTg1,1,04ZJUS039TRL3XL6,2,1,1332.88,PA0002428267,No fault,C,PG_COLLISIONMERGE,2019-02-10 00:00:00,2,CO,CO,NO,2018-10-19 00:00:00,2,8.0,1332.88,0.0,0.0
04ZJUS02M89T7SWG,Q080MjEwODUy,1,04ZJUS03B32286J3,5,1,30247.5,PA0002390189,Insured at fault,O,PG_COLLISIONINTERSECTION,2018-10-23 00:00:00,1,CO,CO,NO,2018-10-12 00:00:00,2,19.0,30247.5,0.0,0.0
04ZJUS01LZTRZJ9C,Q080MjI3MjA3,1,04ZJUS03TS1F668S,2,1,598.9100000000001,PA0002451308,No fault,C,GLASSBREAKAGE,2019-04-14 00:00:00,98,CO,CO,NO,2018-10-25 00:00:00,3,10.0,598.9100000000001,0.0,0.0
04ZJUS01RFCSRFYM,Q080MjI4NTc4,1,04ZJUS036RKYE28L,1,1,0.0,PA0002432979,Other party at fault,C,PG_COLLISIONMERGE,2019-02-23 00:00:00,1,CO,CO,NO,2018-10-26 00:00:00,1,4.0,0.0,0.0,0.0
04ZJUS01CX3GY8J5,Q080MjM2NDE4,1,04ZJUS03MB5MY349,1,1,41800.0,PA0002406855,Insured at fault,C,PG_IVREARENDCV,2018-12-07 00:00:00,1,CO,CO,NO,2018-10-31 00:00:00,1,28.0,41800.0,0.0,0.0
04ZJUS01TVMLBP9L,Q080MjM4MTMw,1,04ZJUS03GP0TYQH9,1,1,99.95,PA0002433293,No fault,C,GLASSBREAKAGE,2019-02-22 00:00:00,1,CO,CO,NO,2018-11-01 00:00:00,1,5.0,99.95,0.0,0.0
04ZJUS01V9LYYRHK,Q080MjM5MjM5,1,04ZJUS03B9X3GF39,6,1,0.0,PA0002404587,No fault,C,FIRE,2018-12-03 00:00:00,0,CO,CO,NO,2018-11-02 00:00:00,1,,,,
04ZJUS0280LJK2PN,Q080MjQ1MDU2,1,04ZJUS03T3X4T37X,1,1,4450.07,PA0002417902,Insured at fault,C,PG_IVREARENDCV,2018-11-21 00:00:00,1,CO,CO,NO,2018-11-06 00:00:00,2,6.0,4450.07,0.0,0.0
04ZJUS01HXENRDLN,Q080MjQ2MTY2,1,04ZJUS03LSMF3V7W,11,1,1573.52,PA0002426636,Insured at fault,C,PG_COLLISIONBACKING,2019-02-05 00:00:00,1,CO,CO,NO,2018-11-07 00:00:00,3,11.0,1573.52,0.0,0.0
04ZJUS015MLR47YL,Q080MjQ5MDQw,1,04ZJUS13R4TD5RMP,1,1,0.0,PA0002444985,Insured at fault,C,PG_COLLISIONBACKING,2019-03-20 00:00:00,0,CO,CO,NO,2018-11-08 00:00:00,1,,,,
04ZJUS02NS1ND5RD,Q080MjUxMDI0,1,04ZJUS13HRK3HVYR,3,1,0.0,PA0002431550,Insured at fault,C,PG_COLLISIONMERGE,2019-02-19 00:00:00,99,CO,CO,NO,2018-11-09 00:00:00,1,1.0,0.0,30.0,720.0
04ZJUS0102CDHW0D,Q080MjYwODY0,1,04ZJUS13X5447HJ5,2,1,3527.91,PA0002427717,Insured at fault,C,VEHCOLLISION,2019-02-08 00:00:00,1,CO,CO,NO,2018-11-16 00:00:00,1,16.0,3527.91,0.0,0.0
04ZJUS02DSMWVXSR,Q080MjYxNjA5,1,04ZJUS03BS8SM7QS,2,1,15397.380000000001,PA0002412978,Insured at fault,C,PG_COLLISIONINTERSECTION,2018-12-26 00:00:00,2,CO,CO,NO,2018-11-17 00:00:00,2,38.0,15397.380000000001,0.0,0.0
04ZJUS01RWD7KNL6,Q080MjYyNzA1,1,04ZJUS13D98439WL,2,1,1704.19,PA0002417987,Insured at fault,C,PG_COLLISIONINTERSECTION,2019-01-09 00:00:00,1,CO,CO,NO,2018-11-18 00:00:00,1,6.0,1704.19,0.0,0.0
04ZJUS0290LCKEMT,Q080MjYzMDgx,1,04ZJUS03N6CCLNM7,2,1,0.0,PA0002460215,Insured at fault,C,ROLLOVER,2019-05-07 00:00:00,99,CO,CO,NO,2018-11-19 00:00:00,3,4.0,0.0,0.0,0.0
04ZJUS0215TFZNST,Q080Mjc2Njc2,1,04ZJUS031C5F92YE,2,1,1784.85,PA0002441777,Insured at fault,C,PG_COLLISIONMERGE,2019-02-22 00:00:00,1,CO,CO,NO,2018-11-30 00:00:00,2,7.0,1784.85,0.0,0.0
04ZJUS02EJFW14SR,Q080MjczNDE0,1,04ZJUS03DTK0HD0K,1,1,0.0,PA0002432123,Other party at fault,C,PG_CVREARENDIV,2019-01-27 00:00:00,1,CO,CO,YES,2018-11-27 00:00:00,1,4.0,0.0,0.0,0.0
04ZJUS02E20MTXLP,Q080Mjg2NTAx,1,04ZJUS03XHV1YE0Y,3,2,4466.01,PA0002413913,No fault,C,PG_COLLISIONBACKING,2018-12-29 00:00:00,98,CO,CO,NO,2018-12-06 00:00:00,1,8.0,2430.75,0.0,0.0
04ZJUS02E20MTXLP,Q080Mjg2NTAx,1,04ZJUS03XHV1YE0Y,3,2,4466.01,PA0002459560,Insured at fault,C,PG_COLLISIONINTERSECTION,2019-05-06 00:00:00,1,CO,CO,NO,2018-12-06 00:00:00,1,6.0,2035.26,0.0,0.0
04ZJUS0186MDRQM3,Q080Mjg3NTM5,1,04ZJUS03BXZ245JJ,2,1,0.0,PA0002406521,No fault,C,VEHCOLLISION,2018-12-07 00:00:00,1,CO,CO,NO,2018-12-07 00:00:00,1,8.0,0.0,0.0,0.0
04ZJUS029K2MK2PH,Q080Mjg4NDU0,1,04ZJUS039XP068D0,1,1,0.0,PA0002415743,Insured at fault,C,PG_IVREARENDCV,2018-12-07 00:00:00,1,CO,CO,NO,2018-12-07 00:00:00,1,5.0,0.0,0.0,0.0
04ZJUS012PBLEYK5,Q080MjkwMTA1,1,04ZJUS03XT4C9XMM,2,1,0.0,PA0002413587,Insured at fault,C,PG_IVREARENDCV,2018-12-08 00:00:00,1,CO,CO,NO,2018-12-08 00:00:00,1,1.0,0.0,0.0,0.0
04ZJUS02XLS258JB,Q080MjkzMzAx,1,04ZJUS03X60D12KD,6,1,9495.560000000001,PA0002426995,Insured at fault,O,LEFTCOLLISION,2019-02-05 00:00:00,3,CO,CO,NO,2018-12-12 00:00:00,1,29.0,9495.560000000001,0.0,0.0
04ZJUS027LKY4PHD,Q080MzAwMjcy,4,04ZJUS03C0X4KY03,3,3,10557.49,PA0002411837,No fault,O,PG_IVREARENDCV,2018-12-21 00:00:00,99,CO,CO,NO,2018-12-17 00:00:00,1,18.0,4368.7,0.0,0.0
04ZJUS027LKY4PHD,Q080MzAwMjcy,4,04ZJUS03C0X4KY03,3,3,10557.49,PA0002433910,No fault,C,FIRE,2019-02-25 00:00:00,2,CO,CO,NO,2018-12-17 00:00:00,2,13.0,6188.79,0.0,0.0
04ZJUS027LKY4PHD,Q080MzAwMjcy,4,04ZJUS03C0X4KY03,3,3,10557.49,PA0002455417,Insured at fault,C,PG_HIT_RUN,2019-04-12 00:00:00,2,CO,CO,NO,2018-12-17 00:00:00,3,1.0,0.0,13.0,312.0
04ZJUS028XT8781Z,Q080MzAwMzk0,1,04ZJUS13R58RFQJ7,1,1,0.0,PA0002424934,No fault,C,LEFTCOLLISION,2019-01-31 00:00:00,1,CO,CO,NO,2018-12-17 00:00:00,1,1.0,0.0,15.0,360.0
04ZJUS02X0N0PE89,Q080MzAyOTkx,1,04ZJUS03GJ2228JM,1,1,0.0,PA0002411450,No fault,C,PG_IVREARENDCV,2018-12-20 00:00:00,1,CO,CO,NO,2018-12-20 00:00:00,1,1.0,0.0,0.0,0.0
04ZJUS016G60ED99,Q080MzEyODc0,1,04ZJUS03TYHK3HSY,1,1,0.0,PA0002448129,Insured at fault,C,PG_COLLISIONWITHPARKEDCAR,2019-04-05 00:00:00,1,CO,CO,NO,2018-12-29 00:00:00,1,2.0,0.0,64.0,1536.0
04ZJUS029K2MK2PH,Q080MzgzMzUx,1,04ZJUS039XP068D0,1,1,0.0,PA0002447221,No fault,C,PG_IVREARENDCV,2019-04-02 00:00:00,2,CO,CO,NO,2019-02-16 00:00:00,1,1.0,0.0,18.0,432.0
04ZJUS02NHVMYG04,Q082NzU5ODEx,1,04ZJUS039SP4C4CS,2,1,0.0,PA0000841079,Other party at fault,C,PD ONLY (2 CARS),2015-02-27 13:00:00,1,CO,CO,NO,2015-01-25 00:00:00,1,3.0,0.0,0.5416666666666666,13.0
04ZJUS0261HFLWNR,Q082Nzg2MzI5,1,04ZJUS03QHJ4XTYJ,3,2,2625.63,PA0000421682,Insured at fault,C,PD ONLY (2 CARS),2008-11-27 15:00:00,1,CO,CO,NO,2008-09-08 00:00:00,1,6.0,2625.63,0.625,15.0
04ZJUS0261HFLWNR,Q082Nzg2MzI5,1,04ZJUS03QHJ4XTYJ,3,2,2625.63,PA0000671738,Insured at fault,C,COV ISSUE 2 OR LESS VEHS,2012-10-31 16:45:00,1,CO,CO,NO,2012-09-08 00:00:00,99,3.0,0.0,0.6979166666666667,16.750000000000004
04ZJUS02MS9GGS9S,Q083MDk4NjQ2,1,04ZJUS03W450PDJF,6,1,0.0,PA0002378296,Other party at fault,C,VEHCOLLISION,2015-11-30 00:00:00,2,CO,CO,NO,2015-11-06 00:00:00,4,1.0,0.0,0.0,0.0
04ZJUS018JHMDW6F,Q083MTA1OTk3,1,04ZJUS03PYKG3N5K,1,1,0.0,PA0000471574,Other party at fault,C,COVERAGE ISSUE,2009-12-01 18:15:00,0,CO,CO,NO,2078-12-31 00:00:00,0,,,,
04ZJUS02JZ5VZK25,Q083MTY0Nzk5,1,04ZJUS03QHFPGSYJ,3,1,0.0,PA0002005665,No fault,C,VANDALISM,2015-05-14 00:00:00,0,CO,CO,NO,2015-01-09 00:00:00,7,,,,
04ZJUS01G6BTP2BN,Q083Mjc4MTg4,4,04ZJUS03MMZWSSJR,2,1,0.0,PA0000533495,Other party at fault,C,PD ONLY (2 CARS),2010-11-23 00:00:00,1,CO,CO,NO,2010-04-08 00:00:00,3,6.0,0.0,0.0,0.0
04ZJUS012HKE4KGB,Q083MzY2NjQw,1,04ZJUS03R9K54XET,1,1,0.0,PA0000543311,Other party at fault,C,PD ONLY (2 CARS),2011-01-17 17:50:00,0,CO,CO,NO,2010-12-25 00:00:00,1,,,,
04ZJUS018XG9V9D9,Q083NjA5MTgx,1,04ZJUS03Y7V6Y8WB,5,3,6083.06,PA0000631161,Insured at fault,C,COVERAGE ISSUE,2012-02-26 00:00:00,99,CO,CO,NO,2012-02-11 00:00:00,3,10.0,3993.1800000000003,0.0,0.0
04ZJUS018XG9V9D9,Q083NjA5MTgx,1,04ZJUS03Y7V6Y8WB,5,3,6083.06,PA0000641789,Other party at fault,C,COVERAGE ISSUE,2012-05-18 12:00:00,99,CO,CO,NO,2012-02-11 00:00:00,3,9.0,0.0,0.5,12.0
04ZJUS018XG9V9D9,Q083NjA5MTgx,1,04ZJUS03Y7V6Y8WB,5,3,6083.06,PA0000804408,Other party at fault,C,PD ONLY (2 CARS),2014-08-30 22:10:00,2,CO,CO,NO,2014-02-11 00:00:00,6,5.0,2089.88,0.9236111111111112,22.166666666666668
04ZJUS01QZNTZHPY,Q083Njk0NjY1,1,04ZJUS03562KM5XV,3,2,3486.94,PA0000774038,Other party at fault,C,PD ONLY (3 OR MORE CARS),2014-03-28 18:00:00,1,CO,CO,NO,2013-11-13 00:00:00,5,11.0,2218.79,0.7500000000000001,18.000000000000004
04ZJUS01QZNTZHPY,Q083Njk0NjY1,1,04ZJUS03562KM5XV,3,2,3486.94,PA0002015133,Insured at fault,C,PG_COLLISIONBACKING,2015-07-26 00:00:00,1,CO,CO,NO,2015-05-14 00:00:00,7,12.0,1268.15,0.0,0.0
04ZJUS01KWBGDS6W,Q083Njk5MTc0,1,04ZJUS03V9Z3L28S,1,1,3887.73,PA0000676245,Other party at fault,C,COV ISSUE 2 OR LESS VEHS,2012-10-23 16:00:00,99,CO,CO,YES,2012-10-19 00:00:00,7,10.0,3887.73,0.6666666666666666,16.0
04ZJUS02NJBT8C8L,Q083Njk5MjA0,1,04ZJUS03EB2MY34L,4,1,1566.3,PA0002464717,Insured at fault,C,PG_IVREARENDCV,2019-05-18 00:00:00,1,CO,CO,NO,2019-04-17 00:00:00,1,12.0,1566.3,0.0,0.0
04ZJUS029Q49LMNR,Q083Nzk3ODQz,1,04ZJUS03M2BDGT3S,4,1,1855.19,PA0000603480,Insured at fault,C,PD ONLY (2 CARS),2011-10-21 12:30:00,2,CO,CO,NO,2011-07-15 00:00:00,2,6.0,1855.19,0.5208333333333334,12.5
04ZJUS0130F7RN0P,Q083NzkxNjE1,1,04ZJUS03WJZLJYL6,1,2,2638.4,PA0000587881,Fault unknown,C,UNVERIFIED,2011-08-23 18:30:00,0,CO,,NO,2011-07-08 00:00:00,1,,,,
04ZJUS0130F7RN0P,Q083NzkxNjE1,1,04ZJUS03WJZLJYL6,1,2,2638.4,PA0000589130,Insured at fault,C,PD ONLY (2 CARS),2011-08-22 18:30:00,1,CO,CO,NO,2011-07-08 00:00:00,1,7.0,2638.4,0.7708333333333334,18.5
04ZJUS02JJGDGMKZ,Q083ODAxNTgw,1,04ZJUS0319QWQ2HR,1,1,1102.42,PA0000582152,Insured at fault,C,PD ONLY (2 CARS),2011-07-19 10:45:00,1,CO,CO,NO,2011-07-19 00:00:00,1,5.0,1102.42,0.4479166666666667,10.75
04ZJUS02G4HGC2PP,Q083ODAyOTU1,1,04ZJUS03C6VEYBTQ,1,1,0.0,PA0000613900,Other party at fault,C,GLASS ONLY/TOWING,2011-12-31 11:30:00,1,CO,CO,NO,2011-07-20 00:00:00,1,3.0,0.0,0.4791666666666667,11.5
04ZJUS02ZVQCXQFF,Q083ODI2ODQ4,1,04ZJUS036PT1E2PG,7,1,0.0,PA0000612966,Fault unknown,C,UNVERIFIED W/INJURY,2011-12-28 18:00:00,0,CO,,NO,2011-08-12 00:00:00,1,,,,
04ZJUS01PVTNYY18,Q083ODYwODkw,1,04ZJUS03E61V62WX,2,1,1289.01,PA0002024967,Insured at fault,C,FIXEDOBJCOLL,2015-09-12 00:00:00,1,CO,CO,NO,2014-09-14 00:00:00,4,8.0,1289.01,0.0,0.0
04ZJUS02T65ED20H,Q083ODk1NzI2,1,04ZJUS03RSKHN4BS,4,2,1142.05,PA0000737425,Other party at fault,C,GLASS ONLY/TOWING,2013-09-16 11:45:00,1,CO,CO,NO,2012-10-18 00:00:00,1,5.0,98.95,0.4895833333333333,11.75
04ZJUS02T65ED20H,Q083ODk1NzI2,1,04ZJUS03RSKHN4BS,4,2,1142.05,PA0000790062,Insured at fault,C,PD ONLY (2 CARS),2014-06-14 00:01:00,1,CO,CO,NO,2013-10-18 00:00:00,1,8.0,1043.1,0.0006944444444444446,0.01666666666666667
04ZJUS02976PLNNR,Q083OTQ3MTg2,2,04ZJUS03JLPDKPQD,2,1,0.0,PA0000666412,Fault unknown,C,UNVERIFIED,2012-09-10 00:01:00,0,CO,,NO,2011-12-10 00:00:00,1,,,,
04ZJUS01G6BTP2BN,Q083OTUzMzEx,1,04ZJUS03MYX4G1KB,3,2,1742.37,PA0000725629,Other party at fault,C,PD ONLY (2 CARS),2013-07-31 13:00:00,0,CO,CO,NO,2012-12-20 00:00:00,1,,,,
04ZJUS01G6BTP2BN,Q083OTUzMzEx,1,04ZJUS03MYX4G1KB,3,2,1742.37,PA0002045055,Comparative Negligence,C,REAREND,2015-12-04 00:00:00,1,CO,CO,NO,2014-12-20 00:00:00,2,10.0,1742.37,0.0,0.0
04ZJUS02Q2091BCC,Q083OTYyNzE5,1,04ZJUS039H2MDPHR,2,1,445.11,PA0000748320,Insured at fault,C,PD ONLY (2 CARS),2013-11-18 15:45:00,1,CO,CO,NO,2013-01-02 00:00:00,2,5.0,445.11,0.65625,15.75
04ZJUS0213QF9G5G,Q085MTQzMjc4,1,04ZJUS03CJKMD93Z,2,1,3650.34,PA0000444607,Insured at fault,C,PD ONLY (2 CARS),2009-05-18 11:20:00,1,CO,CO,NO,2078-12-31 00:00:00,1,9.0,3650.34,0.4722222222222222,11.333333333333334
04ZJUS01Q8NRHGJY,Q085MzIzNTk4,1,04ZJUS03ZH10N3PF,17,4,44889.39000000001,PA0000704394,Insured at fault,C,COVERAGE ISSUE W/INJ,2013-04-23 11:30:00,99,CO,CO,NO,2012-06-23 00:00:00,6,22.0,11720.16,0.4791666666666667,11.5
04ZJUS01Q8NRHGJY,Q085MzIzNTk4,1,04ZJUS03ZH10N3PF,17,4,44889.39000000001,PA0002031039,Comparative Negligence,C,PG_COLLISIONINTERSECTION,2015-10-06 00:00:00,6,CO,CO,NO,2015-06-23 00:00:00,9,38.0,30835.0,0.0,0.0
04ZJUS01Q8NRHGJY,Q085MzIzNTk4,1,04ZJUS03ZH10N3PF,17,4,44889.39000000001,PA0002173281,Insured at fault,C,VEHCOLLISION,2016-10-16 00:00:00,12,CO,CO,NO,2016-06-23 00:00:00,9,7.0,2334.23,0.0,0.0
04ZJUS01Q8NRHGJY,Q085MzIzNTk4,1,04ZJUS03ZH10N3PF,17,4,44889.39000000001,PA0002247229,Other party at fault,C,PG_CVREARENDIV,2017-09-07 00:00:00,0,CO,CO,NO,2017-06-23 00:00:00,13,,,,
04ZJUS01GY3XYRKR,Q085MzQ0NTA4,1,04ZJUS03GMV9Y8X8,1,2,813.63,PA0000441567,Other party at fault,C,ACCIDENT W/INJURY,2009-04-18 12:00:00,0,CO,CO,NO,2008-11-23 00:00:00,1,,,,
04ZJUS01GY3XYRKR,Q085MzQ0NTA4,1,04ZJUS03GMV9Y8X8,1,2,813.63,PA0000559043,Other party at fault,C,PD ONLY  (1 CAR),2011-04-05 00:00:00,1,CO,CO,NO,2010-11-23 00:00:00,1,8.0,813.63,0.0,0.0
